komoditas,opt,Provinsi,kab_kota,tahun,triwulan,luas_komoditas,serangan_ringan,serangan_berat,total_serangan,Luas Pengendalian APBN (Ha),Luas Pengendalian APBD I (Ha),Luas Pengendalian APBD II (Ha),Luas Pengendalian Swadaya (Ha),total_pengendalian,cara_pengendalian,provinsi_folder,file_asal,provinsi,tmax_rata,tmin_rata,suhu_rata,hujan_total,gdd_total_triwulan,jumlah_hari,gdd_akumulasi_tahunan,tbase,gdd_kuning,gdd_merah,intervensi_hijau,intervensi_kuning,intervensi_merah,gdd_triwulan_final,gdd_akumulasi_final,status,intervensi
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,2024,4,3140.26,82.0,31.0,113.0,0.0,0.0,0.0,41.0,41.0,herbisida,Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.78,24.37,28.08,512.65,1265.25,70.0,6112.17,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,2024,4,19173.5,892.0,23.0,915.0,0.0,0.0,0.0,141.0,141.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.78,24.37,28.08,512.65,1265.25,70.0,6112.17,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,2024,4,7692.61,472.0,299.0,771.0,0.0,0.0,0.0,318.0,318.0,Mekanis,Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.78,24.37,28.08,512.65,1265.25,70.0,6112.17,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,2024,4,3071.8,75.0,20.0,95.0,0.0,0.0,0.0,12.0,12.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2024.xlsx,Bangka Belitung,31.78,24.37,28.08,512.65,1265.25,70.0,6112.17,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BELITUNG,2025,1,3255.3,143.13,13.38,156.51,0.0,0.0,0.0,86.24,86.24,herbisida,Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,31.12,24.0,27.56,1026.32,1580.22,90.0,1580.22,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,2025,1,17160.0,907.0,28.0,935.0,0.0,0.0,0.0,153.0,153.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,31.12,24.0,27.56,1026.32,1580.22,90.0,1580.22,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,2025,1,3133.51,83.0,30.5,113.5,0.0,0.0,0.0,43.0,43.0,herbisida,Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,31.12,24.0,27.56,1026.32,1580.22,90.0,1580.22,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,2025,1,3039.8,80.0,30.0,110.0,0.0,0.0,0.0,20.0,20.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,31.12,24.0,27.56,1026.32,1580.22,90.0,1580.22,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,2025,1,9685.85,601.02,382.41,983.43,0.0,0.0,0.0,318.0,318.0,Mekanis,Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,31.12,24.0,27.56,1026.32,1580.22,90.0,1580.22,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BELITUNG,2025,2,3255.3,143.14,13.39,156.53,0.0,0.0,0.0,86.24,86.24,herbisida,Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,31.83,24.52,28.18,707.98,1653.97,91.0,3234.19,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
